t_id,text
5,don t ok https t co utxrj zvdn
6,rt sanfranciscoba enoughsenough surprise woody allen s new film is about a young girl s romance with a much older man gt http t co
8,rt theatlanticpol watch baltimore native tanehisicoates speak on race in america johnshopkins this morning at livestream here h
10,rt sippey here s my one paragraph review of the new macbook https t co vucqgxqjeg
13,mmflint i dont ask for rts gen but my friend frakintosh is a columbine survivor who needs to finally get therapy http t co srbhq nweh
14,not only but acts messages from people that say you re still here you matter pls tell frakintosh u care http t co srbhq nweh ptsd
15,to live with untreated ptsd is to feel like you might die any moment again and again help costs money http t co srbhq nweh fb
16,frakintosh is also a columbine survivor miles away from the big news coverage he is still struggling http t co srbhq nweh fb
17,frakintosh is old skool web a good web citizen a maker a team player he needs a web of help now http t co srbhq nweh cc anildash
18,one reason my life has gotten better is the support of my dear friend frakintosh now he needs help pls join me http t co srbhq nweh fb
19,rt finallevel jon stewart got it right again watch the wake up call he gave his dailyshow viewers regarding the baltimoreriots http
22,sexy but crazy i play with makeup for the first time girlyoudontneedmakeup amyschumer https t co tf qk dmy
23,sexy but crazy i play with makeup for the first time from the early vlogging days girlyoudontneedmakeup http t co zoypkmh x
24,sexy but crazy i play with makeup for the first time from the early vlogging days girlyoudontneedmakeup http t co gevm musr
29,the seinfeld series is going to be on huluhttp t co ymq svli s fb
31,kevinroose this got funded during this first net boom too i took a gander at the ismell for the npr circuits show https t co gpmlfysl x
32,rt waxpancake police reform bills went up before maryland legislators last month police lobbyists helped kill all but three http t
35,rt nationalpost surgery no longer required for trans canadians to change gender on citizenship certificates http t co ps isijbsl http
37,rt voxdotcom in freddie gray s baltimore neighborhood half of the residents don t have jobs http t co bqpaghmgqv http t co vmnjdvr
39,rt anildash right now you can directly help a family in baltimore pay their water bill https t co r ahclw qy i don t ask this often
40,mt xeni all you need to know abt why there r there riots in baltimore is in these charts http t co xdobenytf http t co eeoxqlgj e fb
41,rt wkamaubell los angeles wanna a sneak peak at my new tv show united shades of america come to a free taping this thurs amp fri http
44,rt saraschaefer great convo how do we balance the responsibility to speak up with the responsibility to shut up http t co qobw utx
45,this guy managed to effortlessly upstage the ejector seat did a little creatively inspirational https t co lctovc tek
59,the last video game i was good at http t co tla mogccf
60,the last video game i was good at http t co qckmhlrfky
61,the last video game i was any good at http t co on ls j i
71,the web i love mt kenyatta so jah came to town so i fasted on coffee and we turned on a camera and this ensued http t co a ywbhhosa
74,one of my fave pages on the net nytimes short cooking basic videoshttp t co vckjkz dsd
76,rt johnmaloney always a fagen fan but his coachella diary seals it http t co tmfgq cue
81,great piece from page on taking spirituality out for biz mt chrisfahey mindfulness is the new sustainable http t co dvxnhudkrz
84,rt theeconomist american airlines quality rating virgin america hawaiian delta jetblue alaska http t co oqja zs v http t
85,rt larrybobsf sunday in berlin vaginal davis shows bugsy malone starring jodie foster at arsenaldetails http t co ukx gkbnct https
125,a moment kottke dooce is retiring from blogging for a living the canaries in the coal mine are piling up http t co xggnbr izk
147,rt ladybits the latest on the ladybits motherboard bodies of the future series explores the lack of female input in iud design http t
148,if you haven t already read this do it now mt shegotchutzpah i just want to hear amyschumer talk forever http t co b ciiyx hq fb
149,fantastic digidave waldo tunnel from sf to marin to be renamed the robin williams tunnel http t co zkds aojsp fb
150,my powers of invisibility https t co e i sdlh f
151,rt thinkprogress american muslims are more supportive of same sex marriage than white evangelical christians http t co e ztf g u http
154,joe nguyen closing out our show i had another really good set tonight clean set too and i had to https t co fajcl anh
