id,text,source,user_id,truncated,in_reply_to_status_id,in_reply_to_user_id,in_reply_to_screen_name,retweeted_status_id,geo,place,contributors,retweet_count,reply_count,favorite_count,favorited,retweeted,possibly_sensitive,num_hashtags,num_urls,num_mentions,created_at,timestamp,crawled_at,updated
1,"RT @morningJewshow: Speaking about Jews and comedy tonight at Temple Emanu-El in San Francisco. In other words, my High Holidays.","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.94E+17,,RRN,,1,0,0,,,NULL,0,0,1,Fri May 01 00:18:11 +0000 2015,42125.09596,42125.5398,42125.5398
2,This age/face recognition thing..no reason platforms can't have changing avatars of our actual faces to increase affect/better communication,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,SILK,,0,0,0,,,NULL,0,0,0,Thu Apr 30 21:50:52 +0000 2015,42124.99366,42125.5398,42125.5398
3,Only upside of the moment I can think of is that network news hasn't booked their #Baltimore panels with Bill Cosby.#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,BTM,,0,0,0,,,NULL,2,0,0,Thu Apr 30 20:52:32 +0000 2015,42124.95315,42125.5398,42125.5398
4,If you're going to think about+create experiences then you need a broad knowledge of what the human experience is. #peopleoverinterfaces #UX,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,SILK,,2,0,1,,,NULL,2,0,0,Thu Apr 30 18:42:40 +0000 2015,42124.86296,42125.5398,42125.5398
5,Watching a thread on FB about possible future of UX speaker and crowd suggestions seem 96%white American dudes. Dream broadly people.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,0,,KOR,,0,0,0,,,NULL,0,0,0,Thu Apr 30 18:41:36 +0000 2015,42124.86222,42125.5398,42125.5398
6,Don't. Ok? https://t.co/uTXrJ6zvdN,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",678033,,0,0,,0,,HSR,,0,0,1,,,,0,1,0,Thu Apr 30 16:49:15 +0000 2015,42124.7842,42125.5398,42125.5398
7,"RT @SanFranciscoBA: #enoughsenough ""Surprise! Woody Allen’s new film is about a young girl’s romance with a much older man."" =&gt; http://t.co…","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.94E+17,,BSK,,1,0,0,,,,1,1,1,Thu Apr 30 16:30:10 +0000 2015,42124.77095,42125.5398,42125.5398
8,"RT @thepatrickwalsh: Kriss Kross once rapped ""some of them try to rhyme but they can't rhyme like this,"" then rhymed ""jump"" with ""jump"" for…","<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.94E+17,,BSK,,49,0,0,,,NULL,0,0,1,Thu Apr 30 12:16:01 +0000 2015,42124.59446,42125.5398,42125.5398
9,RT @TheAtlanticPOL: Watch Baltimore native @tanehisicoates speak on Race in America @JohnsHopkins this morning at 10:30. Livestream here: h…,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,0,0,,5.94E+17,,BTM,,231,0,0,,,,0,1,3,Thu Apr 30 12:15:07 +0000 2015,42124.59383,42125.5398,42125.5398
10,@thelancearthur @hotdogsladies I didn't realize anyone has ever made it to dessert there.,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",678033,,5.94E+17,143569237,thelancearthur,0,,KOR,,0,0,0,,,NULL,0,0,2,Thu Apr 30 11:43:57 +0000 2015,42124.57219,42125.5398,42125.5398
11,RT @sippey: Here's my one paragraph review of the new MacBook. https://t.co/vUcQgXQJEG,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,5.93E+17,,ATB,,11,0,0,,,,0,1,1,Thu Apr 30 06:13:05 +0000 2015,42124.34242,42125.5398,42125.5398
12,@wkamaubell I stand by you. I don't want men telling me what's sexist either People are the experts on their own experience.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,5.94E+17,19119809,wkamaubell,0,,BSK,,0,0,2,,,NULL,0,0,1,Thu Apr 30 05:55:24 +0000 2015,42124.33014,42125.5398,42125.5398
13,@frogtosser Thank you Becca.,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,14249445,frogtosser,0,,BTM,,0,0,0,,,NULL,0,0,1,Thu Apr 30 01:15:18 +0000 2015,42124.13563,42125.5398,42125.5398
14,"@MMFlint I dont' ask for RTs gen, but my friend @frakintosh is a Columbine survivor who needs to finally get therapy http://t.co/SRbhQ3nweH","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,20479813,MMFlint,0,,HSR,,0,0,0,,,,0,1,2,Thu Apr 30 00:54:55 +0000 2015,42124.12147,42125.5398,42125.5398
15,"Not only$ but acts+messages from people that say ""you're still here, you matter.""Pls tell @frakintosh u care. http://t.co/SRbhQ3nweH  #PTSD","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,ATB,,0,0,0,,,,1,1,1,Thu Apr 30 00:52:19 +0000 2015,42124.11966,42125.5398,42125.5398
16,To live with untreated PTSD is to feel like you might die any moment. Again and again. Help costs money. http://t.co/SRbhQ3nweH#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,0,,0,,ATB,,1,0,0,,,,1,1,0,Thu Apr 30 00:50:58 +0000 2015,42124.11873,42125.5398,42125.5398
17,@frakintosh is also a Columbine survivor. Miles away from the big news coverage he is still struggling. http://t.co/SRbhQ3nweH#fb,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",678033,,0,20729466,frakintosh,0,,HSR,,0,0,0,,,,1,1,1,Thu Apr 30 00:50:08 +0000 2015,42124.11815,42125.5398,42125.5398
